Chromosome	SNPs	Heterozygous_0.5MB	Missing_0.5MB	Heterozygous_1MB	Missing_1MB	Heterozygous_2MB	Missing_2MB	Heterozygous_4MB	Missing_4MB	Heterozygous_8MB	Missing_8MB	Heterozygous_16MB	Missing_16MB
1	83	0	1	1	1	1	2	2	5	5	10	10	19
2	81	0	1	1	1	1	2	2	5	5	9	10	18
3	77	0	1	1	1	1	2	2	4	5	8	9	16
4	78	0	1	1	1	1	2	3	5	5	10	10	19
5	76	0	0	1	1	1	2	2	4	4	8	9	16
6	74	0	1	1	1	1	2	2	5	5	10	9	19
7	76	0	1	1	1	1	2	2	4	5	9	9	18
8	81	0	1	1	1	1	2	2	4	5	8	10	17
9	79	0	1	1	1	1	2	3	5	5	9	10	18
10	79	0	1	1	1	1	2	3	4	5	9	11	18
11	83	0	1	1	1	1	2	2	4	5	8	10	17
12	77	0	1	1	1	1	2	2	5	5	9	10	19
13	83	0	0	1	1	1	2	2	4	5	7	9	14
14	81	0	0	1	1	1	2	2	4	4	7	9	15
15	76	0	1	1	1	1	2	3	5	5	9	10	18
16	74	0	1	1	1	1	2	2	5	5	9	10	18
17	78	0	1	1	1	1	2	2	4	5	8	9	17
18	75	0	0	1	1	1	2	2	4	5	7	9	14
19	88	0	0	1	1	1	2	2	3	4	7	8	14
20	71	0	1	1	1	1	2	3	5	5	10	10	19
21	76	0	1	1	1	1	2	3	5	5	9	10	18
22	77	0	0	1	1	1	2	2	4	5	8	10	16
23	70	0	1	1	2	2	3	3	6	7	12	13	24
24	77	0	1	1	1	1	2	3	5	5	10	11	19
25	71	0	1	1	1	1	2	3	4	5	8	11	16
26	76	0	1	1	1	1	2	3	5	6	9	12	18
27	74	0	1	1	1	2	2	3	5	6	10	13	20
28	71	0	1	1	1	1	3	3	5	6	10	12	21
29	75	0	1	1	1	1	2	3	5	5	9	11	19
